Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
1738,Yes,No,New Zealand,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,500 to 999 employees,Full-stack developer,12-14 years,9-11 years,Extremely satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,A friend told me about a job opportunity,NA,92000,Yearly,67238,NZD,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,To improve my general technical skills or programming ability;Because I find it enjoyable,Agree,Strongly disagree,Disagree,C#;JavaScript;SQL;HTML;CSS,C#,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,Azure;Firebase,.NET Core;Xamarin,.NET Core,Visual Studio;Visual Studio Code,Windows,2,Agile;Extreme programming (XP);Kanban;Lean;Pair programming;Scrum,Git;Mercurial,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,NA,1,6,2,5,4,3,7,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",NA,Yes,8,A few times per week,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,I'm not sure,Somewhat interested,Somewhat interested,Not at all interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,3 - 4 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
1741,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",10 to 19 employees,Mobile developer,18-20 years,18-20 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,I saw an employer’s advertisement,U.S. dollars ($),NA,NA,NA,NA,Slack;Trello,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Hack;Objective-C;Swift,C;C++;Go;Rust;Swift,Cassandra;Amazon Redshift,NA,Heroku;iOS,Heroku;iOS;Mac OS;Raspberry Pi;Firebase,NA,React;TensorFlow,Sublime Text;Visual Studio Code;Xcode,MacOS,1,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,2,1,3,6,7,4,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,Yes,"No, and I don't know what that is",7,Yes,Somewhat interested,Not at all interested,Somewhat interested,A little bit interested,A little bit interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,35 - 44 years old,No,No,The survey was an appropriate length,Somewhat easy
1742,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,15-17 years,9-11 years,Slightly dissatisfied,Moderately satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,My job status or other personal status changed,U.S. dollars ($),160000,Yearly,160000,USD,"Confluence;Google Hangouts/Chat;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",NA,NA,Agree,Strongly disagree,Strongly disagree,C;JavaScript;Objective-C;SQL;Swift;HTML;CSS;Bash/Shell,Objective-C;Swift,MySQL;SQLite,SQLite,Apple Watch or Apple TV;Heroku;iOS;Mac OS;WordPress,Apple Watch or Apple TV;AWS;iOS;Mac OS,NA,NA,Coda;Xcode,MacOS,2,Agile;Pair programming,Git,Once a day,No,NA,NA,Somewhat disagree,Somewhat agree,Strongly agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,3,4,1,5,2,7,6,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,NA,Yes,7,A few times per month or weekly,Yes,Less than once per month or monthly,Yes,Yes,5,Yes,A little bit interested,A little bit interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,Yes,No,The survey was an appropriate length,Somewhat easy
1747,Yes,No,Israel,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator,6-8 years,3-5 years,Extremely satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Between 2 and 4 years ago,My job status or other personal status changed,NA,18000,Monthly,63192,ILS,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Agree,Strongly disagree,Strongly disagree,C++;C#;Java;JavaScript;Perl;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,C#,"SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",SQL Server,Android;Linux;Windows Desktop or Server,Windows Desktop or Server,Angular;.NET Core;Node.js,.NET Core,Notepad++;Visual Studio,Windows,2,Agile,Git;Team Foundation Version Control,A few times per week,Yes,No,NA,Strongly disagree,Neither agree nor disagree,Strongly agree,Stopped going to a website because of their advertising,4,1,3,2,5,7,6,NA,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,NA,Yes,A little bit interested,Not at all interested,A little bit interested,Not at all interested,A little bit interested,Between 8:01 - 9:00 AM,Over 12 hours,30 - 59 minutes,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was too long,Very easy
1748,Yes,No,Slovenia,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist;Educator or academic researcher,30 or more years,18-20 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,My job status or other personal status changed,Euros (€),50000,Yearly,61194,EUR,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Python;R;Bash/Shell,Go;Julia;Python;R;SQL;TypeScript;Bash/Shell,NA,PostgreSQL,NA,NA,NA,TensorFlow,IPython / Jupyter;PyCharm;Visual Studio;Visual Studio Code,Windows,2,NA,Git,A few times per week,Yes,No,NA,Neither agree nor disagree,Somewhat agree,Strongly agree,NA,1,6,3,7,2,5,4,Algorithms making important decisions,Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,9,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,A little bit interested,Somewhat interested,Very interested,Not at all interested,Not at all interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,45 - 54 years old,Yes,NA,The survey was an appropriate length,Somewhat easy
1749,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;DevOps specialist;System administrator,12-14 years,9-11 years,Extremely satisfied,Moderately satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,I had a negative experience or interaction at work,U.S. dollars ($),110000,Yearly,110000,USD,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Less than a month,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",NA,NA,Strongly agree,Strongly disagree,Disagree,Groovy;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Go;Java;Rust;Kotlin,PostgreSQL,PostgreSQL,AWS,AWS,Spring,Spring,IntelliJ;Vim,MacOS,1,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,No,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,6,3,2,4,5,7,1,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,9,A few times per week,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",8,I'm not sure,Somewhat interested,Somewhat interested,Very interested,A little bit interested,Somewhat interested,Between 7:01 - 8:00 AM,5 - 8 hours,Less than 30 minutes,Never,Standing desk;Fatigue-relieving floor mat,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
1750,Yes,No,Colombia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,A friend told me about a job opportunity,U.S. dollars ($),28000,NA,28000,USD,"Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Strongly agree,Agree,Disagree,C;Go;Java;JavaScript;Python;Ruby;SQL;HTML;CSS,C;Go;JavaScript;Python;Ruby;SQL;Kotlin,MySQL;PostgreSQL;MariaDB;Google BigQuery;Google Cloud Storage;Elasticsearch,PostgreSQL;MariaDB;Google BigQuery;Google Cloud Storage;Elasticsearch,AWS;Google Cloud Platform/App Engine;Heroku;Mac OS;Firebase,Google Cloud Platform/App Engine;Heroku;Mac OS;Firebase,Angular;Django;Node.js;React;TensorFlow,Django;Node.js;React;TensorFlow,IntelliJ;IPython / Jupyter;PyCharm;RubyMine;Vim,MacOS,2,Agile;Pair programming;Scrum,Git,Multiple times per day,No,NA,NA,Somewhat agree,Strongly agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,7,2,5,1,4,3,6,Algorithms making important decisions,Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,I'm not sure,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,3 - 4 hours,1 - 2 times per week,NA,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,18 - 24 years old,No,NA,The survey was too long,Neither easy nor difficult
1757,No,No,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Embedded applications or devices developer,18-20 years,15-17 years,Moderately satisfied,Slightly satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,I had a negative experience or interaction at work,Euros (€),65600,Yearly,80286,EUR,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",I already had a full-time job as a developer when I began the program,NA,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,C++;C#;VB.NET;HTML;CSS,C#,SQL Server;MySQL;MariaDB,SQL Server;MySQL;MariaDB,Linux;Raspberry Pi;Windows Desktop or Server,Linux;Raspberry Pi;Windows Desktop or Server,.NET Core,.NET Core,Notepad++;Visual Studio,Windows,3,Agile;Evidence-based software engineering;Scrum,Subversion,Weekly or a few times per month,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Stopped going to a website because of their advertising,7,4,3,1,6,5,2,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,Nobody,"I don't care about it, or I haven't thought about it.",No,Depends on what it is,Upper management at the company/organization,Yes,9,A few times per week,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Not at all interested,Not at all interested,Not at all interested,A little bit interested,A little bit interested,Between 5:00 - 6:00 AM,5 - 8 hours,Less than 30 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,45 - 54 years old,Yes,NA,The survey was too long,Neither easy nor difficult
1758,Yes,Yes,United States,No,Employed full-time,Associate degree,"Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,15-17 years,12-14 years,Extremely satisfied,Extremely satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,I did not receive an expected change in compensation,U.S. dollars ($),68000,Yearly,68000,USD,Confluence;Jira;Slack,Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,NA,Agree,Strongly disagree,Strongly disagree,Groovy;Java;JavaScript;Perl;PHP;Python;TypeScript;HTML;CSS;Bash/Shell,C#;Groovy;Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell,MongoDB;MySQL;Oracle,MongoDB;Oracle,Google Cloud Platform/App Engine;Linux;Raspberry Pi;Windows Desktop or Server,Google Cloud Platform/App Engine;Linux;Raspberry Pi;Windows Desktop or Server,Angular;Node.js;Spring,Angular;Node.js;Spring,IntelliJ,Windows,2,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,6,4,2,1,7,5,3,NA,Increasing automation of jobs,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,Yes,10 (Very Likely),Yes,Very interested,Extremely interested,A little bit interested,A little bit interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,3 - 4 times per week,Standing desk,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,Yes,No,The survey was an appropriate length,Very easy
1759,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,12-14 years,12-14 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,A recruiter contacted me,U.S. dollars ($),154000,Yearly,154000,USD,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,NA,NA,Agree,Strongly disagree,Strongly disagree,Java;JavaScript;Perl;Ruby;SQL;HTML;CSS;Bash/Shell,Java;JavaScript;Swift;TypeScript;HTML;CSS;Bash/Shell,Amazon DynamoDB;Amazon Redshift;Elasticsearch,Amazon DynamoDB;Amazon Redshift;Elasticsearch,Amazon Echo;AWS;iOS,Apple Watch or Apple TV;AWS;iOS;Mac OS;Serverless,Spring,Node.js;React,IntelliJ;TextMate;Visual Studio Code,MacOS,2,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Somewhat agree,Somewhat disagree,Stopped going to a website because of their advertising,2,4,7,3,6,5,1,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),A few times per month or weekly,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,No,Not at all interested,Not at all interested,Not at all interested,A little bit interested,A little bit interested,Before 5:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,Yes,No,The survey was an appropriate length,Somewhat easy
1764,Yes,No,Austria,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;Front-end developer,18-20 years,6-8 years,Slightly dissatisfied,Moderately dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,A recruiter contacted me,Euros (€),51000,Yearly,62418,EUR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Nine months to a year,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,NA,Agree,Neither Agree nor Disagree,Disagree,Java;SQL;VBA;HTML;Bash/Shell,Java;Matlab;SQL;Bash/Shell,NA,PostgreSQL;Oracle;MariaDB,Linux;Raspberry Pi;Windows Desktop or Server,Linux;Windows Desktop or Server,NA,.NET Core;Hadoop;TensorFlow,Eclipse;Notepad++;Vim,Windows,3,Extreme programming (XP);Scrum,Git;Subversion;Copying and pasting files to network shares,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat agree,Somewhat agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,5,3,4,6,7,2,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,I'm not sure / I can't remember,NA,"No, I didn't know that Stack Overflow had a jobs board",NA,NA,Yes,Not at all interested,Not at all interested,A little bit interested,Very interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,3 - 4 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,Yes,NA,The survey was an appropriate length,Somewhat difficult
1768,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,6-8 years,Moderately dissatisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,I received bad news about the future of my company or department,U.S. dollars ($),65000,Yearly,65000,USD,"HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Disagree,Agree,C#;Java;JavaScript;PHP;SQL;Delphi/Object Pascal;HTML;CSS,C#;Java;JavaScript;PHP;Scala;SQL;Swift;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Elasticsearch,MySQL;PostgreSQL;SQLite;Oracle,Linux;Mac OS;Windows Desktop or Server;WordPress,Android;iOS;Linux;Mac OS;Windows Desktop or Server,Node.js,Angular;.NET Core;Node.js,Atom;IntelliJ;Notepad++;PHPStorm;Vim;Visual Studio,Windows,2,Agile;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,2,6,5,3,7,4,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",NA,Yes,Very interested,Extremely interested,Somewhat interested,Very interested,Very interested,Between 8:01 - 9:00 AM,Over 12 hours,30 - 59 minutes,1 - 2 times per week,Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
